ID,Category,Question,Answer,Option_1,Option_2,Option_3
28,Art,"Same as Johann Sebastian Bach, who is also a musician in the Baroque period?",Georg Friederich Händel,Ludwig van Beethoven,Franz Liszt,Franz Schubert
29,Art,Pablo Picasso once said: Art is a lie that makes us realize the truth. Which of the following is not one of his artistic characteristics?,Romanticism,Cubism,Post-impressionism,Surrealism
30,Art,Which of the following is not a major figure in the film art movement La Nouvelle Vague?,Robert Bresson,Éric Rohmer,François Roland Truffaut,Jean-Luc Godard
31,TV shows,What is the name of Phoebe’s twin sister in Friends?,Ursula,Patricia,Jonna,Zoey
32,TV shows,What do Monica and Chandler name their twins in Friends?,Jack and Erica,John and Isabella,Jill and Patrick,Phil and Lucy
33,TV shows,Which of the following characters is not highborn in Game of Thrones?,Gendry,Arya,Maester Aemon,Renly
34,TV shows,Who killed Stannis Baratheon at Winterfell?,Brienne,Arya,Sandor Clegane,Robert Baratheon
35,TV shows,Dreadfort is the stronghold of which noble house in Westros?,Boltons,Florent,Karstarks,Greyjoys
36,TV shows,How old is Prince Joffrey when he is coronated in the TV show?,16 years,11 years,15 years,21 years
37,TV shows,"What is the name of the board game that Mike, Dustin, Lucas, and Will love to play in Stranger Things?",Dungeons and Dragons,Skribble,Dragon's Lair,Snakes and Ladders
38,TV shows,How much currency does the gang print at the Royal Mint in Money Heist?,985 million euros,158 million euros,1 billion euros,658 million euros
39,TV shows,How many heists had Berlin pulled off before the event of “Money Heist” ?,27,11,5,21
40,TV shows,What street do Sherlock Holmes and Watson live on?,Baker Street,Regency Street,High Street,Park Street
41,Mythology,What is the name of the home of the Greek Gods?,Olympus,Takamagahara,Sukhavati,Midgard
42,Mythology,Which warrior’s weakness was their heel?,Achilles,Jason,Menelaus,Aeneas
43,Mythology,Who was the messenger of the gods?,Hermes,Orpheus,Hestia,Athena
44,Mythology,What’s the name of the paradise warriors go to after death in norse mythology?,Valhalla,Devaloka,Yomi,Heaven
45,Mythology,Thor was the son of which God?,Odin,Zeus,Loki,Kratos
46,Mythology,Romulus and Remus were raised by what animal?,Wolf,Tiger,Lion,Jaguar
47,Mythology,The Roman God of War inspired the name of which planet?,Mars,Mercury,Jupiter,Uranus
48,Mythology,What was the name of the Egyptian God of the Sun?,Ra,La,Ka,Fa
49,Mythology,"Anubis, the God of Death, had the head of a_____",Jackal,Dhole,Coyote,Husky
50,Mythology,"Set throws Osiris into which river, after tricking him into a coffin?",Nile,Amazon,Yangtze,Charles
51,Computer Science,A personal computer stores documents or other data temporarily on ___?,RAM,ROM,FLASH drive,Processor
52,Computer Science,"If you restart your computer by selecting the restart button, it is known as ___?",A & D,Soft boot,Cold boot,Warm boot
53,Computer Science,1 Megabyte (MB) = __?,"1,024 kb","1,000 kb","1,200 kb","1,275 kb"
54,Computer Science,Which computer program converts assembly language to machine language?,Assembler,Interpreter,Compiler,Comparator
55,Computer Science,A computer use which type of number system to calculate and to store data?,Binary,Decimal,Octal,Hexadecimal
56,Computer Science,One Terabyte (1TB) is equal to,1024 GB,1028 GB,1912 GB,1000 GB
57,Computer Science,The basic uits of a excel spreedsheet where we enter data is called ___?,Cell,Tab,Box,None of the above
58,Computer Science,"What does the letter ""S"" stand for in the Web terminology ""HTTPS""?",Secure,Safe,Short,Shorter
59,Computer Science,Which one IP address cannot be assign to a computer system in a network?,127.0.0.1,192.168.1.1,192.1.1.27,None of the above
60,Computer Science,USB Hard disk is a ___ type of storage device.,Secondary,Primary,Teriary,Auxillary
61,Movie,"Where were ""The Lord of the Rings"" movies filmed?",New Zealand,Ireland,Iceland,Australia
62,Movie,"Which is not the name of a child selected to tour the Wonka factory in ""Willy Wonka and the Chocolate Factory""?",Billy Warp,Veruca Salt,Mike Teavee,Charlie Bucket
63,Movie,"Who did the cat in ""The Godfather"" belong to?",No one—the cat was a stray.,Francis Ford Coppola,Diane Keaton,Al Pachino
64,Movie,What is the name of the fictional land where Frozen takes place?,Arendelle,Naples,Florin,Grimm
65,Movie,"What item is in every ""Fight Club"" scene?",A Starbucks cup,A Coca-Cola can,A Dunkin’ donut,A Pepsi bottle
66,Movie,Which actor hasn’t played the Joker?,Sean Penn,Jack Nicholson,Jared Leto,Mark Hamil
67,Movie,Which two movies started from the same script?,E.T. and Poltergeist ,Star Wars and Close Encounters of the Third Kind,The Goonies and Indiana Jones,Jurassic Park and The Land Before Time
68,Movie,What was the first movie in the Marvel Cinematic Universe?,Iron Man,The Incredible Hulk,Spider-Man,Captain America
69,Movie,For which of these movies did Leonardo DiCaprio win an Oscar for Best Actor?,The Revenant,Blood Diamond,The Last King of Scotland,Titanic
70,Movie,What type of animal appears in the opening credits of movies produced by MGM studios?,Lion,Giraffe,Rooster,Duck
71,Anime,Dragon Ball' was created by who in 1984?,Akira toriyama,Satoshi Tajiri,Hirohiki Araki,Hayao Miyazaki
72,Anime,What is the name of Studi Ghibli's well known mascot?,Totoro,Kiki,Bakura,Ponyo
73,Anime,In which anime series is Ash Ketchum the main character?,Pokemon,Eyeshield 21,Cowboy Bebop,Super Dimension Fortress Macross
74,Anime,In 'Sailor Moon' the anime character Makoto Kino transforms,Sailor Jupiter,Sailor Mercury,Sailor Venus,Sailor Mars
75,Anime,"In 'Nurato', the main character, Naruto Uzumaki, is a host for the powerful Nine-Tales. What creature is th Nine-Tails?",Fox,Wolf,Bear,Cat
76,Anime,Yubaba is a witch in which animated film written and directed by Hayao Miyazaki?,Spirited Away,Castle in the sky,Ocean Waves,Pom Poko
77,Anime,Which anime series is set in the world of Amestris?,Fullmetal Alchemist,Nurato,Sailor Moon,Pokemon
78,Anime,"In 'Howl's Moving Castle', Sophie is transformed into an old woman by a witch . How old is sophies as an old woman?",90 years old,75 years old,87 years old ,101 years old
79,Anime,"In 'One Piece', Monkey D. Luffy originally sets out with the Straw Hat Pirates to become the pirate king on which ship?",Going Merry,Jolly rGER,Thousand Sunny,Ever Darker
80,Anime,Which planest is also know as the Dragon world in 'Dragon Ball'?,Earth,Mars,Jupiter,Neptune
81,Anime,Which series is set in the dark underworld of Victorian London?,black Butler,Phantomhive,Valkyria Chronicles,Blue Exorcist
82,Geography,What river runs through Baghdad?,Tigris,Euphrates,Jordan,Nile
83,Geography,What country has the most natural lakes?,Canada,United States,Russia,Brazil
84,Geography,WHat is the driest place on earth?,"McMurdo, Antartica","The Sahara Desert, North Africa","The Empty Quarter, Saudi Arabia","The Outback, Australia"
85,Geography,What African country has the most pyrimads?,Sudan,Egypt,Lybia,Lybia
86,Geography,What African country served as the setting for Tatooine in Star Wars?,Tunisia,Egypt,Morocco,Algeria
87,Geography,What is the oldest City in the world?,Jericho,Damascus,Jerusalem,Athens
88,Geography,Which U.S. state has the most active volcanoes?,Alaska,Hawaii,California,Washington
89,Geography,What is the flattest continent?,Australia,Antartica,Africa,South America
90,Geography,What country has the most coastline?,Canada,United States,Russia,China
91,Geography,Which of these African nations is NOT landlocked?,Congo,Chad,Niger,Central African Republic
92,Geography,"Along with Spain and France, what is the other country to have both Atlantic and Mediterranean coastlines?",Morroco,Lebanon,Syria,Egpyt
93,Geography,What is the tallest mountain in North America?,Mt. Denali,Mt. Saint Helens,Mt. Washington,Mt. Mitchell
94,Geography,What continent contains the most fresh water?,Antartica,North America,Africa,Asia
95,Geography,What ocean is home to 75% of the Earth's volcanoes?,Pacific,Atlantic,Indian,Artic
96,Geography,What is the oldest active volcano on Earth?,Mt. Etna,Mt. Fuji,Mt. Vesuvius,Mt. Everest
97,Geography,What river runs through Paris?,Seine,Thames,Danube,Elbe
98,Geography,What is the most populated country in Africa?,Nigeria,Egypt,South Africa,Ethiopia
99,Geography,What European country is home to Transylvania?,Romania,Hungary,Bulgaria,Latvia
100,Geography,Which country is NOT part of the Scaninavian Peninsula?,Denmark,Sweden,Finland,Norway
101,Geography,What is the capital of Turkey?,Ankara,Istanbul,Izmir,Bursa
102,Art,The European Renaissance is a period covering?,15th & 16th centuries,14th & 15th centuries,16th & 17th centuries,13rd & 14th centuries
103,Art,"Starting from 13th century, Sonnet has which of the following structure?",14-line,13-line,15-line,16-line
104,Art,"L.H.O.O.Q.' is a work of art by Marcel Duchamp, which he later loosely explain it is a pun for?","""there is fire down below""","""She is hot in the arse""","""She has a hot ass""",Mona Lisa smoking a pipe'
105,Art,"Andy Warhol has famous artwork with a can soup, what brand is it?",Campbell,Amy,Pacific,Progresso
106,Art,Avant-garde theater began to develop around what time period?,late 19th century,late 18th century,early 18th century,early 20 century
107,Art,"Eighteenth century opera houses were constructed with a U-shaped auditorium, with sets of private boxes arranged in tiers. What did this arrangement make possible?",To show the royal or high-ranking identity of the dignitaries,For more seating options,To show different angle of the stage,To show the design of the theatre
108,Art,Clara Schumann (1819-1896) was more renowned in her lifetime than her husband Robert as a composer and performer for what instrument?,The Piano,The Harp,The Lute,The Violin
109,Art,Franz Joseph Haydn (1732-1809) is known as the father of,The symphony,Johann Christian Bach,The English Oratorio,The baryton
110,Art,"Madama Butterfly by Giacomo Puccini (1858-1924), an example of Orientalism, was set in what country?",Nagasaki(Japan),India,Vietnam,China
111,Art,"Who composed Die Zauberflöte (The Magic Flute), which is filled with symbolic imagery derived from Freemasonry?",Wolfgang Amadeus Mozart,Ludwig van Beethoven,Gioachino Rossini,Richard Wagner 
112,Science,The 'e' in the famous equation e = mc^2 represents the quantity of what?,energy,entropy,endrogy ,endoplasmic reticulum 
113,Science,The 'm' in the famous equation e = mc^2 represents the quantity of what?,mass,motion,minutes,money
114,Science,The light of the sun is what color?,white,red,blue,yellow
115,Science,The electron was discovered by which scientist?,JJ Thomson,Nikola Tesla,Thomas Edison,James Clerk Maxwell
116,Science,The process in which plants utilize light energy to convert carbon dioxide and water into a food source is called:,photosynthesis,chlorophyll,heat,tanning
117,Science,Which organelle is known as 'the powerhouse of the cell',Mitochondria,Endoplasmic Reticulum,Nucleus,Ribosome
118,Science,An Oxygen atom has how many valence electrons?,6,4,5,7
119,Science,How many planets are in our solar system?,8,9,7,11
120,Science,Which scientist was famous for speaking a heliocentric view of our solar system?,Capernicus,Einstein,Newton,Hooke
121,Science,"The phrase 'positive' and 'negative' charge, in association with electricity is attributed to which scientist?",Benjamin Franklin,George Washington,Nikola Tesla,Michael Faraday
122,Art,Pop Art is,An art movement that involves imagery dealing with Pop culture,An art movement the involves imagery dealing with food,An art movement that involves famous people,An art form with pop up artistic features
123,Art,"The artist that used repeating images, such as Marilyn Monroe or Campbell's soup is",Andy Warhol,"
Roy Lichtenstein",Claus Oldenburg,Robert Rauschenberg
124,Art,The artist that enlarged small areas of comic strips are,"
Roy Lichtenstein",Andy Warhol,Claus Oldenburg,Robert Rauschenberg
125,Art,The artist that took everyday imagery from newspapers and magazines to create collages is,Robert Rauschenberg,Andy Warhol,"
Roy Lichtenstein",Claus Oldenburg
126,Art,The artist that create large sculptures of everyday objects and placed the sculptures in large cities is,Claus Oldenburg,Robert Rauschenberg,Andy Warhol,"
Roy Lichtenstein"
127,Art,"
Food, such as McDonald's, could be a subject of Pop Art because:",it is a major influence on consumer culture.,It is popular.,Everyone can create it. ,Everyone knows it
128,Art,What was the main goal of the artists belonging to the Pop Art movement?,"They were trying to question the concept of ""what is art""",They wanted to appeal to their audience,They wanted to create artwork using imagery that they enjoyed,They wanted to make more money with less cost. 
129,Art,What is the principle of art that indicates movement by the repetition of elements?,Rhythm,Variety,Balance,Unity
130,Art,"Which famous painter was also a sculptor, an architect, and an engineer?",Leonardo Da Vinci,Francoise Gilot,Andy Warhol,Claude Monet
131,Art,Who was the first living person to have their art displayed in The Louvre?,Georges Braque,Vincent Van Gogh,Leonardo Da Vinci,Claude Monet
132,Art,Claude Monet is most known for his paintings of what?,Water lily paintings,Polka Dot,Sun Flower,Egg
